IP,PCOL,PCOG,PJ,TOT
20,22,22,22,86
20,22,23,22,87
20,22,21,21,84
17,19,22,20,78
9,13,12,13,47
24,25,24,25,98
17,22,21,21,81
21,22,22,22,87
22,24,23,23,92
21,23,23,21,88
21,21,22,21,85
13,17,19,18,67
19,20,20,21,80
18,21,22,20,81
23,24,24,24,95
20,23,22,23,88
21,23,22,22,88
18,19,20,19,76
13,15,18,18,64
23,24,24,25,96
19,21,21,22,83
20,23,22,23,88
15,20,18,19,72
19,23,21,21,84
18,22,21,23,84
14,21,20,22,77
18,21,20,20,79
18,22,22,23,85
18,21,20,17,76
17,21,20,20,78
16,18,16,17,67
13,18,16,17,64
18,21,22,20,81
19,22,21,20,82
14,20,18,19,71
21,23,23,23,90
22,23,23,24,92
17,21,20,20,78
24,24,24,23,95
23,24,24,23,94
22,24,24,23,93
17,22,19,18,76
22,23,22,23,90
21,23,23,20,87
15,21,20,18,74
19,22,23,22,86
17,19,16,18,70
20,22,21,22,85
21,23,23,22,89
23,23,24,24,94
20,23,23,21,87
24,23,24,24,95
18,22,22,20,82
21,23,23,22,89
22,24,23,24,93
21,21,23,23,88
20,22,22,22,86
19,19,21,20,79
17,19,20,19,75
20,22,23,23,88
21,21,22,21,85
22,22,23,23,90
5,13,8,12,38
20,21,22,23,86
14,15,16,15,60
21,18,19,21,79
20,21,22,22,85
18,20,18,19,75
17,18,15,17,67
18,20,21,20,79
24,22,22,23,91
19,20,21,19,79
21,19,18,19,77
20,21,21,21,83
16,20,21,21,78
21,21,23,20,85
18,21,20,20,79
18,21,23,22,84
18,21,19,18,76
22,23,24,21,90
16,19,17,19,71
18,22,18,18,76
14,18,19,19,70
13,15,16,14,58
15,16,19,16,66
17,17,16,17,67
18,18,19,18,73
16,17,17,16,66
19,23,21,21,84
18,20,22,18,78
18,21,20,21,80
17,21,19,16,73
22,24,24,24,94
16,16,18,17,67
20,19,18,20,77
15,18,17,16,66
16,16,16,17,65
14,16,16,18,64
17,18,16,15,66
17,17,16,16,66
15,16,14,17,62
10,16,12,12,50
24,25,24,24,97
